Year,mean
2015,23.78359218775516
2016,31.61396573698804
2017,27.61225116118608
2018,19.28232828507964
2019,31.83381773086633
2020,18.37185360629215
2021,19.58656216453894
2022,30.65681837231366
2023,29.79384596263161
2024,26.85144502375157
2025,30.80617616548876
2026,23.3035987333255
2027,29.60876909788501
2028,33.12990905724583
2029,25.78715624013336
2030,17.4356631603414
2031,23.12240191279335
2032,21.52611208003035
2033,31.23229710889931
2034,27.70524325234985
2035,38.88103617967962
2036,23.73234602581007
2037,29.97841449869744
2038,31.02306950385089
2039,25.90505595692385
2040,23.95698749803565
2041,45.06009546413715
2042,28.78400621623227
2043,29.80119197447789
2044,24.16778849437507
2045,28.29964262602084
2046,30.2646666285151
2047,29.04492002937853
2048,33.44005790705861
2049,24.43237329446724
2050,26.25481717895997
2051,21.17465901963748
2052,25.58048230426589
2053,22.64640979231915
2054,24.84816676699298
2055,23.05378673528109
2056,23.43256057504819
2057,20.56754392780906
2058,25.7428628788387
2059,27.45351428551593
2060,32.25326106130693
2061,22.93707075174863
2062,34.06205368594021
2063,28.02567482743547
2064,38.13881121698797
2065,26.50324841662144
2066,29.34210159940358
2067,28.19880262616218
2068,27.1019658191683
2069,40.77605946209758
2070,32.88797116886484
2071,27.00874418942606
2072,27.49906767085095
2073,24.61045579099147
2074,43.25177619243719
2075,29.93718706186871
2076,26.99540964383817
2077,26.22907821638386
2078,21.54600376676353
2079,30.94792372960971
2080,43.93362330661185
2081,31.13379343753662
2082,35.28931366179473
2083,34.01929010147165
2084,32.09760728207284
2085,27.64671965557524
2086,24.28399863888789
2087,24.7972380658622
2088,39.78360524457807
2089,35.61305111684268
2090,30.84258290954629
2091,36.62287576565065
2092,40.84149931805315
2093,54.5877126583677
2094,29.69935451555569
2095,20.41158385721634
2096,35.04536929016679
2097,31.32782950898754
2098,29.21697993905673
2099,22.25980490095744
2100,26.05731497870268
