Year,mean
2006,25.74697854993892
2007,25.96546179384167
2008,23.11231327983996
2009,32.62686084905644
2010,26.05658480171344
2011,26.78628803563622
2012,22.91746761418117
2013,23.44032021139018
2014,16.5334301217624
2015,35.60674357441211
2016,31.76241121225317
2017,21.55544468122553
2018,30.9662080909784
2019,24.7280826088266
2020,27.89017128929808
2021,23.18317237426692
2022,25.48268456755362
2023,16.68238015674274
2024,28.38857100817182
2025,32.36315951035015
2026,26.44444398602333
2027,25.55281476622846
2028,21.66533050609059
2029,34.6955800339684
2030,32.40667150450393
2031,35.65724785326024
2032,29.75901527670219
2033,30.34640613299267
2034,27.21880159940369
2035,19.85435407687374
2036,23.34488325531883
2037,34.03458592682377
2038,32.75450471736104
2039,32.61668144712701
2040,22.32229265067418
2041,17.26835463764364
2042,27.02465845136373
2043,32.16799551931945
2044,36.73467595759694
2045,31.28549719674869
2046,26.53465234886845
2047,33.19019555200389
2048,23.57390000861063
2049,35.23848025244368
2050,31.88198888707847
2051,28.0532680777629
2052,39.46274193903824
2053,26.31986250193057
2054,20.22231865224051
2055,22.375330166334
2056,27.11525652678858
2057,19.66421863595039
2058,18.79920757159365
2059,47.40233589858453
2060,28.86759631452102
2061,26.55649226563801
2062,25.81392974755418
2063,41.80474548850008
2064,35.96156470087659
2065,29.96924724530218
2066,52.74964923197133
2067,28.89620768736548
2068,28.37824309338021
2069,27.91404769384397
2070,34.68809919507517
2071,27.15628551306596
2072,34.00360470943391
2073,26.62886894171737
2074,45.36243054311197
2075,31.56961574272506
2076,41.75629045852335
2077,25.69691916839579
2078,24.91343280508941
2079,29.57268208388355
2080,42.86503388090244
2081,32.47100651713822
2082,28.88992911096824
2083,24.14810137881582
2084,27.05503936568905
2085,25.59278873060201
2086,32.95276304114451
2087,28.89708673607199
2088,27.01583060160612
2089,27.39487138941213
2090,26.78497740006067
2091,29.10530628638088
2092,44.30480341749595
2093,39.97934937745742
2094,37.94227446209738
2095,38.38159250779441
2096,28.79034738184581
2097,36.1275203768821
2098,27.87943788016274
2099,42.36254214616621
2100,24.07470746029802
