Year,mean
1975,25.01063576458174
1976,17.57536942543394
1977,27.01416580731502
1978,22.3260976179734
1979,24.36153846153846
1980,31.58099882736525
1981,21.27043604956547
1982,24.43039396547689
1983,20.70677402461774
1984,22.42833961182276
1985,31.08347682184086
1986,23.8
1987,21.37998257057595
1988,20.27637295129288
1989,22.50095282906064
1990,19.29895781523022
1991,20.8298414660268
1992,55.0625133570589
1993,25.2217795981393
1994,30.49417067157632
1995,23.92737176731435
1996,27.32663051396266
1997,24.64205542107027
1998,27.7580338975605
1999,27.45183185974901
2000,25.47692307692308
2001,20.90964021905586
2002,35.92123063356696
2003,29.76829278117486
2004,34.74950325830086
2005,23.10358782532017
2006,24.2813448180311
2007,24.60942507637959
2008,24.27612994472179
2009,32.52004146758027
2010,27.84979441647175
2011,25.8951287001457
2012,27.87360777943091
2013,25.92860381448807
2014,15.57059497734694
