Date,mean
2006-05-29 00:00:00,4.248517155
2006-05-30 00:00:00,5.59245897
2006-05-31 00:00:00,0.780585145
2006-06-01 00:00:00,5.940928858
2006-06-02 00:00:00,11.52869217
2006-06-03 00:00:00,0.545561467
2006-06-04 00:00:00,0.997453563
2006-06-05 00:00:00,0.848328735
2006-06-06 00:00:00,13.00952331
2006-06-07 00:00:00,1.822925044
2006-06-08 00:00:00,7.446443431
2006-06-09 00:00:00,10.69564278
2006-06-10 00:00:00,0.785234908
2006-06-11 00:00:00,3.398943291
2006-06-12 00:00:00,3.78888297
2006-06-13 00:00:00,2.640933661
2006-06-14 00:00:00,6.998412221
2006-06-15 00:00:00,2.1394514
2006-06-16 00:00:00,2.286978166
2006-06-17 00:00:00,1.474321713
2006-06-18 00:00:00,3.563169418
2006-06-19 00:00:00,6.363537278
2006-06-20 00:00:00,17.69193788
2006-06-21 00:00:00,3.153667632
2006-06-22 00:00:00,10.27213201
2006-06-23 00:00:00,2.497809531
2006-06-24 00:00:00,5.463279104
2006-06-25 00:00:00,1.925083253
2006-06-26 00:00:00,0.588119396
2006-06-27 00:00:00,0.49904752
2006-06-28 00:00:00,7.003534141
2006-06-29 00:00:00,8.612837231
2006-06-30 00:00:00,13.04171644
2006-07-01 00:00:00,10.17713918
2006-07-02 00:00:00,12.1600737
2006-07-03 00:00:00,8.433784047
2006-07-04 00:00:00,2.42368191
2006-07-05 00:00:00,3.242729291
2006-07-06 00:00:00,4.513880656
2006-07-07 00:00:00,6.631158598
2006-07-08 00:00:00,25.74697855
2006-07-09 00:00:00,3.04438658
2006-07-10 00:00:00,2.157143783
2006-07-11 00:00:00,6.216808463
2006-07-12 00:00:00,5.430204921
2006-07-13 00:00:00,7.418207588
2006-07-14 00:00:00,2.540734393
2006-07-15 00:00:00,2.398607313
2006-07-16 00:00:00,3.626743748
2006-07-17 00:00:00,6.915308825
2006-07-18 00:00:00,9.687929821
2006-07-19 00:00:00,11.2101566
2006-07-20 00:00:00,6.716745507
2006-07-21 00:00:00,6.936690675
2006-07-22 00:00:00,5.92026352
2006-07-23 00:00:00,4.711680831
2006-07-24 00:00:00,1.321706992
2006-07-25 00:00:00,4.201690408
2006-07-26 00:00:00,10.99412544
2006-07-27 00:00:00,5.588966731
2006-07-28 00:00:00,1.091695588
2006-07-29 00:00:00,1.726116071
2006-07-30 00:00:00,12.42712941
2006-07-31 00:00:00,6.705173517
2006-08-01 00:00:00,7.28557176
2006-08-02 00:00:00,1.606507395
2006-08-03 00:00:00,0.244894424
2006-08-04 00:00:00,0.064075577
2006-08-05 00:00:00,1.395044204
2006-08-06 00:00:00,2.364325915
2006-08-07 00:00:00,0.394683663
2006-08-08 00:00:00,0.789376209
2006-08-09 00:00:00,0.194014133
2006-08-10 00:00:00,0.680161657
2006-08-11 00:00:00,0.291782823
2006-08-12 00:00:00,2.57945863
2006-08-13 00:00:00,9.751195142
2006-08-14 00:00:00,2.371350173
2006-08-15 00:00:00,8.376185417
2006-08-16 00:00:00,7.49175383
2006-08-17 00:00:00,2.907747974
2006-08-18 00:00:00,2.685884451
2006-08-19 00:00:00,14.08565516
2006-08-20 00:00:00,4.294473864
2006-08-21 00:00:00,7.266999617
2006-08-22 00:00:00,8.791195798
2006-08-23 00:00:00,13.78046379
2006-08-24 00:00:00,1.183205879
2006-08-25 00:00:00,2.396883495
2006-08-26 00:00:00,2.490548658
2006-08-27 00:00:00,5.581554345
2006-08-28 00:00:00,2.834317126
2006-08-29 00:00:00,1.208688668
2006-08-30 00:00:00,1.120346844
2006-08-31 00:00:00,2.238720308
2006-09-01 00:00:00,12.03422879
2006-09-02 00:00:00,6.155408031
2006-09-03 00:00:00,3.155488482
2006-09-04 00:00:00,16.22355165
2006-09-05 00:00:00,10.85637513
2006-09-06 00:00:00,8.655833427
2006-09-07 00:00:00,1.178797951
2006-09-08 00:00:00,0.360243992
2006-09-09 00:00:00,4.899246715
2006-09-10 00:00:00,0.978614923
2006-09-11 00:00:00,0.173224891
2006-09-12 00:00:00,1.642001421
2006-09-13 00:00:00,0.198611156
2006-09-14 00:00:00,0.092962121
2006-09-15 00:00:00,3.111136829
2006-09-16 00:00:00,0.529276864
2006-09-17 00:00:00,4.953425482
2006-09-18 00:00:00,9.434903679
2006-09-19 00:00:00,0.230724538
2006-09-20 00:00:00,6.873367409
2006-09-21 00:00:00,0.522160393
2006-09-22 00:00:00,0.088809015
2006-09-23 00:00:00,2.088528157
2006-09-24 00:00:00,0.080497329
2006-09-25 00:00:00,0
2006-09-26 00:00:00,1.785014332
2006-09-27 00:00:00,0.321576434
2006-09-28 00:00:00,0.428603521
2006-09-29 00:00:00,1.531314807
2006-09-30 00:00:00,0.247245033
2006-10-01 00:00:00,0.524876693
2006-10-02 00:00:00,0.598560482
2006-10-03 00:00:00,4.147377197
2006-10-04 00:00:00,0.29363861
2006-10-05 00:00:00,0.769149648
2006-10-06 00:00:00,3.247970638
2006-10-07 00:00:00,1.131566092
2006-10-08 00:00:00,0.224019476
2006-10-09 00:00:00,2.545178427
2006-10-10 00:00:00,0.135139042
2006-10-11 00:00:00,1.009425605
2006-10-12 00:00:00,0.128604522
2006-10-13 00:00:00,0.327657894
2006-10-14 00:00:00,0.301379806
2006-10-15 00:00:00,0.155827878
2006-10-16 00:00:00,1.231793399
2006-10-17 00:00:00,7.283621116
2006-10-18 00:00:00,3.897852833
2006-10-19 00:00:00,0.787180769
2006-10-20 00:00:00,0.230056661
