Hour,Model
H1,2
H2,3
H3,3
H4,3
H5,3
H6,3
H7,3
H8,3
H9,3
H10,3
H11,3
H12,3
H13,3
H14,3
H15,3
H16,3
H17,3
H18,3
H19,3
H20,3
H21,3
H22,3
H23,2
H24,3
H25,3
H26,3
H27,3
H28,3
H29,3
H30,3
H31,3
H32,3
H33,2
H34,3
H35,3
H36,3
H37,3
H38,3
H39,6
H40,3
H41,3
H42,3
H43,6
H44,3
H45,6
H46,3
H47,1
H48,6
