24	1	1965	1.7
25	1	1965	0.1
26	1	1965	0.1
28	1	1965	0.1
29	1	1965	0.6
1	1	1966	3.3
2	1	1966	5.7
16	1	1966	0.4
17	1	1966	1.2
20	1	1966	1.7
21	1	1966	0.3
22	1	1966	0.6
23	1	1966	1.2
24	1	1966	1
25	1	1966	6.8
26	1	1966	0.2
27	1	1966	0.2
28	1	1966	0.6
29	1	1966	3.9
30	1	1966	0.8
31	1	1966	7.7
6	1	1967	1.1
7	1	1967	2.1
10	1	1967	0.1
18	1	1967	2.6
19	1	1967	0.8
20	1	1967	1.3
21	1	1967	2.3
23	1	1967	8
24	1	1967	1.2
25	1	1967	3
26	1	1967	7.5
27	1	1967	0.2
28	1	1967	5.9
29	1	1967	0.1
31	1	1967	0.2
1	1	1968	9.1
2	1	1968	3.5
3	1	1968	4.9
4	1	1968	2.1
5	1	1968	7.2
6	1	1968	6.6
7	1	1968	0.6
8	1	1968	1.8
9	1	1968	21.2
11	1	1968	0.1
13	1	1968	5.5
14	1	1968	0.5
16	1	1968	0.1
17	1	1968	0.8
18	1	1968	2.7
25	1	1968	0.2
28	1	1968	1.2
30	1	1968	0.2
3	1	1969	0.7
4	1	1969	0.4
7	1	1969	3.8
8	1	1969	2.5
10	1	1969	4.4
11	1	1969	1.3
12	1	1969	2.3
13	1	1969	15.6
14	1	1969	5
15	1	1969	3.1
16	1	1969	2
17	1	1969	5.7
18	1	1969	0.3
20	1	1969	6.4
21	1	1969	0.1
22	1	1969	1.2
24	1	1969	0.1
27	1	1969	0.7
28	1	1969	15.5
29	1	1969	0.6
2	1	1970	0.2
3	1	1970	0.6
6	1	1970	1.2
8	1	1970	2.6
9	1	1970	9.4
10	1	1970	4.7
11	1	1970	2.7
13	1	1970	1.4
14	1	1970	7.5
15	1	1970	0.2
16	1	1970	0.6
18	1	1970	1.4
19	1	1970	0.2
20	1	1970	1.4
21	1	1970	1.3
22	1	1970	1.4
23	1	1970	6.5
24	1	1970	2
25	1	1970	0.1
26	1	1970	6.2
28	1	1970	0.1
29	1	1970	4.9
30	1	1970	11
