Hour,Model
H1,3
H2,3
H3,2
H4,3
H5,3
H6,3
H7,3
H8,3
H9,3
H10,3
H11,3
H12,1
H13,3
H14,1
H15,1
H16,1
H17,1
H18,1
H19,1
H20,1
H21,1
H22,3
H23,1
H24,2
H25,1
H26,1
H27,1
H28,1
H29,3
H30,1
H31,1
H32,1
H33,1
H34,1
H35,3
H36,1
H37,1
H38,1
H39,1
H40,3
H41,3
H42,3
H43,1
H44,1
H45,2
H46,2
H47,1
H48,3
