time,year,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48
17,1991,22.8,24.7,36.3,38,40.9,54.7,54.3,65.4,60.2,49.2,79.5,80.2,66.9,81.9,81.8,79.7,65.3,85.8,65.3,65.3,97.5,101.7,92,89.1,103.3,103.4,94.6,111.5,108.3,103.3,103.4,96.7,111.5,90,120.4,120.2,120.4,101.7,120.4,120.4,120.4,111.5,112.5,111.5,120.4,120.4,120.4,120.4
18,1992,14.5,23.6,37.8,43.6,44.1,54.2,61,63.1,61.3,73.5,71,78.7,68.8,80.1,78.7,94.3,66.4,79.4,83,81.8,88.7,79.4,93.5,97.1,65.6,68.8,80.1,97.1,97.1,98.2,93.5,98.2,97.1,66.4,97.1,98.2,97.1,83.2,97.1,98.2,97.1,96.5,98.2,98.2,98.2,97.1,97.1,98.2
19,1993,28.7,47.2,45.4,51.3,60.9,73.4,76.7,65.1,78.4,78.6,80.2,85.1,90.3,94.8,89,81.9,84.8,97.4,96.6,81.9,95,90.5,100,112.3,99,109.8,100,101.7,100,102.5,103.3,100,114.7,115.4,118.6,101.6,115.4,100,100.1,100,112.4,118.9,101.7,118.9,100,102.2,124.7,128.8
20,1994,36.6,48.4,49.5,54.1,62.1,49.5,54.2,79.4,72.1,62.1,99.5,56,72.1,91.9,105.5,105.5,105.6,105.5,97.1,105.5,102.9,108.3,109.9,107.5,108.8,105.6,116.5,113.6,116.3,116.7,113.3,119,124.9,119.1,129.9,119.1,129.9,129.9,129.9,119.1,129.9,105.9,107.4,119.2,119.5,112.9,129.9,119.5
21,1995,52.8,85.7,81.8,100.8,127.3,129.8,129.8,148,143.7,154.7,195.1,197.6,184.4,155.7,156.6,284.5,248.8,160.3,285.2,284.5,174.1,202.1,286.2,290.1,185.8,208.2,180.1,290,290,205.5,176.9,309.8,220.1,268.2,209.8,297,309.9,309.9,313.5,360.2,310.9,215,277.6,277.6,215,313.1,363.5,320.5
22,1996,23.8,24.8,33,40.9,44.1,53.9,41,45.6,58.6,58.6,60.3,58.4,62.9,44.5,72.9,69,77.2,82,96,63.4,85.2,109,109,86.5,122,104.9,122,86.7,100.2,122,105.1,90,126.7,84.2,126.7,93.6,92.8,133.6,126.5,94.7,126.7,104.2,100.3,109,122,109,70.2,104.3
23,1997,40.4,66.6,72.1,77.7,108,87,142.3,145.3,94.1,154.6,96.2,96.6,117.6,143.8,164.2,154.9,154.9,106.5,161.5,174.1,171.3,127.8,171.3,173.8,164.2,183.7,171.3,183.7,164.2,164.2,183.7,162.3,168,154.9,183.7,168.5,183.7,183.7,183.7,174.2,171.9,183.7,181.2,168.5,183.8,183.7,183.7,183.8
24,1998,48.5,49.3,61.8,50.6,63.1,64.9,65.2,68.4,68.4,72.8,68.9,80,80.2,84.8,81.9,84.6,94.1,119.8,101.3,96.6,133.6,121.7,129.2,145,149.2,154.9,123.9,159.5,157.9,106.1,109.9,148.9,123.9,149.1,135.2,179.6,172.4,105,184.1,174.2,177.2,186.1,119.6,186.5,160.5,131.4,126.6,149.1
25,1999,22,39,61,53.8,75.8,87.5,78.3,102.3,88,110.6,107,114.5,120,122.8,88,136.1,136.1,140.7,148.3,136.1,148.3,121.3,147,114.5,136.1,140.7,148.3,148.3,140.7,148.3,124,148.3,121.3,136.1,122.8,148.3,148.3,148.3,140.7,136.1,148.3,148.3,124.7,148.3,109.6,148.3,148.3,148.3
26,2000,49.6,78.1,125.6,142.1,142.1,145.1,142.1,149.1,150.6,142.1,152.1,156.1,144.6,142.1,150.6,156.1,156.6,156.6,145.1,142.1,156.6,152.1,125.6,156.6,142.1,156.6,156.6,142.1,144.6,156.6,103.1,156.6,156.6,156.6,142.1,156.6,156.6,145.1,156.6,156.6,156.6,156.6,145.1,156.6,150.6,156.6,156.6,156.6
27,2001,29.6,35.8,52.3,57.3,61.5,60.3,60.3,62.8,62.8,64,64,70,68.8,71.4,68.8,68.8,74.4,62.8,71.4,67.5,68.8,64,69.2,70,75.1,75.1,75.1,75.1,75.1,75.1,80.1,95.6,80.1,74.4,75.1,101.1,101.1,101.1,75.1,96.5,80.1,101.1,90.3,69.2,80.1,69.2,90.3,101.1
28,2002,23,37.5,55,55.5,67,70,70,80.5,76,74,84,88,105,108,134.5,125.5,150,140.5,114,141.5,147.5,165.5,163,144.5,159,169,179,173.5,205.5,212.5,180,233,232.5,174,242,224,250,206,176.5,180.5,243.5,251,224,178.5,231,206.5,257,155
29,2003,44,54.5,62.5,62.5,94,100.5,94,72,102.5,108.5,109.5,116,111.5,116,119.5,108.5,112,120,112.5,120,147.5,112.5,143.5,147.5,151,112.5,120.5,147.5,147.5,120.5,132.5,114.5,152,115,125.5,120.5,152,114.5,151,151.5,151.5,147.5,120.5,152,120.5,151.5,152,152
30,2004,46,68.5,112.5,135,84.5,149,85.5,151.5,132,95.5,163,152,175,96.5,163.5,152,143,171.5,167,179.5,182,182,181.5,153,164.5,187.5,202.5,182,180.5,184.5,168,153,164.5,182.5,222,242,198,242,304.5,180.5,280,183,180.2,312.5,307.5,309,319,180.5
31,2005,56.5,68,69,68,68,69,73,74.5,85,86.5,84,72,90,83.5,94,86.5,96.5,97,84.5,91.5,90,90.5,91.5,102,92.9,96,97,85,102,97,101,102,101.5,97,102,102,101,103,98.5,95,102,102,98.5,102,100,104,100.5,104
32,2006,37.5,59,83,93.5,112,85,137.5,118.5,138,126,150,144.5,152.5,154,142,136.5,144.4,155.5,155.5,142,142.5,156.5,169.5,149,142.5,159,142.5,159,147.5,172,171,167,194.5,145,143,196.5,167,190,204,181,205.5,177,157,201,143,172,180.5,201
33,2007,28.5,36.6,39.6,52,50.5,52,67,52.5,76.5,88,89,89.5,83.5,88,79,90,90.5,91,93,93,91,97.5,87,90,94,102.5,93.5,118,97,96,94,120,119,124.5,118,120,118,124.5,120.5,124.5,124.5,124.5,124.5,127.5,97.5,154.5,125,120
34,2008,51,78,111.5,104,146,125,138.5,105,149.5,151,118.5,152,151,184.5,176.5,184.5,151.5,171,120,198,138.5,196.5,120.1,198,198,151,171.1,184.5,168.5,198.1,193.1,198.1,196.5,198,198.1,198,151,198,198.1,198.3,198.3,198.1,184.5,198.3,176.5,198.1,207.5,213
35,2009,32,33,57.5,33,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,61.5,61.5,57.5,57.5,58,57.5,64.5,57.5,57.5,57.5,58,64.5,62,62,80,80,70.5,57.5,61.5,80.5,79.7,66.9,65.5,80.5,61.5,71,81.5,71,69,80.5,76.5,80.5,80.5,81.5,71,77.5
36,2010,46,51.5,55,96,80.5,90,80.5,109.5,113,114,90,114,104.5,116,114,116.5,114,114.5,116,114.5,121,132.5,116.5,120,112.5,121,144,121,156,146,136,127,153,146.5,113.5,146.5,142,148.5,137,156.5,156,129.3,151.5,152.5,156.5,148.5,156.5,127
37,2011,48,66.5,69.5,82,68.5,100.5,99,116,121.5,122,90.5,123.5,122,104.5,124.5,121,130,130.5,134,133.5,130.5,109.5,118.5,140.5,133.5,143,143,136,145,145,146.5,130,134,149.5,149,153,160,164,155,157.5,144.5,158,173,146,149,126.5,136,154.5
38,2012,48.5,87.5,90,151,151,100.5,153.5,151,153.5,151,104.5,164,167,168,168,168,168,168,168,151.5,154,105.5,168.5,168,169,167.5,154,168.5,154,168.5,168,169.5,106,169.5,168.5,169.5,169.5,169.5,169.5,151.5,168.5,169.5,170,169.5,168.5,169.5,169.5,169.5
39,2013,29,42,45.5,56,66.5,57,60,96,77.5,85,98.5,92,108.5,104.5,114,124.5,125.5,102.5,117,132.5,140.5,123.5,141,160.5,143.5,167,164,139,139,171,134.5,131,152.5,171,139,102.5,123.5,117,167,171,152.5,143,177.5,177.5,177.5,177.5,177.5,171
40,2014,28,33,40.5,47.5,46,48,59,71.5,54,54.5,60.5,93,93.5,100.5,54.5,102.5,73,54.5,102.5,104,102.5,104,90.5,102.5,104,94.5,103.5,102.5,104,59,96,104,104,73,104,104,104,102.5,94.5,104,94.5,102.5,104,104,83.5,90.5,77,102.5
